Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Dutch Reformed Church,Galle,124,Culture,0.222,0.786,0.077,0.0,0.556,0.222,0.111,0.0
Excel World Entertainment Park,Colombo,200,Entertainment,0.222,0.071,0.231,0.769,0.556,0.778,0.222,0.667
Flamingos Safari Tours,Hambantota,8,Family,0.056,0.0,0.077,0.0,0.0,0.0,0.0,0.111
Galhinna big rock,Kurunagela,28,Nature,0.444,0.071,0.154,0.0,0.444,0.0,0.0,0.333
Galle Dutch Fort,Galle,199,Culture,0.667,1.0,0.231,0.923,0.889,0.444,0.889,0.111
Galle Face Green,Colombo,198,Family,0.667,0.286,0.231,0.385,0.778,0.444,0.333,0.889
Galle Face park & Beach,Colombo,171,Wellness,0.389,0.071,0.231,0.231,0.778,0.222,0.333,0.667
Galle Fort Attractions and Jumpers Sri Lanka,Galle,198,Culture,0.556,0.929,0.154,0.615,0.889,0.333,0.778,0.222
Galle Fort Clock Tower,Galle,197,Culture,0.556,1.0,0.231,0.385,0.667,0.333,0.444,0.444
Galpotha Natural water slide,Hatton,10,Nature,0.333,0.0,0.077,0.0,0.111,0.0,0.0,0.222
Gampaha Botanical Garden,Gampaha,239,Family,0.5,0.286,0.154,0.385,0.778,0.333,0.0,1.0
Gangarama Sima Malaka,Colombo,197,Wellness,0.556,0.786,0.308,0.077,1.0,0.444,0.444,0.333
Gangarama Temple,Colombo,197,Wellness,0.278,0.857,0.154,0.077,0.889,0.556,0.556,0.556
Gartmore Falls,Hatton,226,Nature,0.889,0.143,0.615,0.154,0.667,0.333,0.0,0.111
Glassaugh Falls,Hatton,21,Family,0.222,0.0,0.231,0.077,0.111,0.0,0.0,0.444
Goraka Ella,Gampaha,54,Wellness,0.333,0.071,0.0,0.0,0.778,0.111,0.0,0.444
Guruge Park,Gampaha,220,Family,0.389,0.643,0.385,0.308,0.556,0.556,0.222,0.778
Hambantota Beach,Hambantota,38,Wellness,0.333,0.0,0.154,0.077,0.444,0.111,0.0,0.444
Hambantota Beach Children Park,Hambantota,28,Family,0.222,0.0,0.0,0.0,0.222,0.0,0.0,0.556
Hambantota Port View,Hambantota,19,Nature,0.167,0.071,0.0,0.0,0.0,0.0,0.0,0.0
