Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
Austria Trend Hotel Park Royal Palace Vienna,Staff_Service,17,37,114,168,67.86,10.12,0.577
Austria Trend Hotel Park Royal Palace Vienna,Value,12,19,62,93,66.67,12.9,0.538
Austria Trend Hotel Park Royal Palace Vienna,Wellness,1,5,14,20,70.0,5.0,0.65
Austria Trend Hotel Rathauspark Wien,Cleanliness,2,15,44,61,72.13,3.28,0.689
Austria Trend Hotel Rathauspark Wien,Facilities,9,24,42,75,56.0,12.0,0.44
Austria Trend Hotel Rathauspark Wien,Food,6,29,76,111,68.47,5.41,0.631
Austria Trend Hotel Rathauspark Wien,Location,13,54,119,186,63.98,6.99,0.57
Austria Trend Hotel Rathauspark Wien,Room,16,49,102,167,61.08,9.58,0.515
Austria Trend Hotel Rathauspark Wien,Staff_Service,14,32,113,159,71.07,8.81,0.623
Austria Trend Hotel Rathauspark Wien,Value,9,16,23,48,47.92,18.75,0.292
Austria Trend Hotel Rathauspark Wien,Wellness,0,1,2,3,66.67,0.0,0.667
Austria Trend Hotel Savoyen Vienna,Cleanliness,9,28,136,173,78.61,5.2,0.734
Austria Trend Hotel Savoyen Vienna,Facilities,5,39,94,138,68.12,3.62,0.645
Austria Trend Hotel Savoyen Vienna,Food,9,32,220,261,84.29,3.45,0.808
Austria Trend Hotel Savoyen Vienna,Location,6,60,219,285,76.84,2.11,0.747
Austria Trend Hotel Savoyen Vienna,Room,17,77,283,377,75.07,4.51,0.706
Austria Trend Hotel Savoyen Vienna,Staff_Service,19,47,243,309,78.64,6.15,0.725
Austria Trend Hotel Savoyen Vienna,Value,4,29,90,123,73.17,3.25,0.699
Austria Trend Hotel Savoyen Vienna,Wellness,3,8,30,41,73.17,7.32,0.659
Austria Trend Hotel Schloss Wilhelminenberg Wien,Cleanliness,4,12,10,26,38.46,15.38,0.231
Austria Trend Hotel Schloss Wilhelminenberg Wien,Facilities,8,15,28,51,54.9,15.69,0.392
Austria Trend Hotel Schloss Wilhelminenberg Wien,Food,9,27,46,82,56.1,10.98,0.451
