Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
Best Western Op ra Batignolles,Food,1,5,10,16,62.5,6.25,0.562
Best Western Op ra Batignolles,Location,5,9,15,29,51.72,17.24,0.345
Best Western Op ra Batignolles,Room,10,12,22,44,50.0,22.73,0.273
Best Western Op ra Batignolles,Staff_Service,8,9,31,48,64.58,16.67,0.479
Best Western Op ra Batignolles,Value,3,3,1,7,14.29,42.86,-0.286
Best Western Op ra Batignolles,Wellness,0,0,1,1,100.0,0.0,1.0
Best Western PLUS Epping Forest,Cleanliness,11,16,35,62,56.45,17.74,0.387
Best Western PLUS Epping Forest,Facilities,5,18,26,49,53.06,10.2,0.429
Best Western PLUS Epping Forest,Food,21,33,39,93,41.94,22.58,0.194
Best Western PLUS Epping Forest,Location,21,46,37,104,35.58,20.19,0.154
Best Western PLUS Epping Forest,Room,44,71,79,194,40.72,22.68,0.18
Best Western PLUS Epping Forest,Staff_Service,28,56,75,159,47.17,17.61,0.296
Best Western PLUS Epping Forest,Value,10,10,19,39,48.72,25.64,0.231
Best Western Palm Hotel,Cleanliness,23,63,142,228,62.28,10.09,0.522
Best Western Palm Hotel,Facilities,29,79,122,230,53.04,12.61,0.404
Best Western Palm Hotel,Food,31,92,122,245,49.8,12.65,0.371
Best Western Palm Hotel,Location,34,88,134,256,52.34,13.28,0.391
Best Western Palm Hotel,Room,92,194,261,547,47.71,16.82,0.309
Best Western Palm Hotel,Staff_Service,56,118,287,461,62.26,12.15,0.501
Best Western Palm Hotel,Value,16,38,75,129,58.14,12.4,0.457
Best Western Palm Hotel,Wellness,2,9,7,18,38.89,11.11,0.278
Best Western Paris Gare Saint Lazare,Cleanliness,2,9,10,21,47.62,9.52,0.381
Best Western Paris Gare Saint Lazare,Facilities,4,7,2,13,15.38,30.77,-0.154
Best Western Paris Gare Saint Lazare,Food,2,10,9,21,42.86,9.52,0.333
Best Western Paris Gare Saint Lazare,Location,2,13,21,36,58.33,5.56,0.528
Best Western Paris Gare Saint Lazare,Room,6,17,24,47,51.06,12.77,0.383
Best Western Paris Gare Saint Lazare,Staff_Service,4,16,10,30,33.33,13.33,0.2
Best Western Paris Gare Saint Lazare,Value,2,7,5,14,35.71,14.29,0.214
Best Western Plus 61 Paris Nation Hotel,Cleanliness,4,15,9,28,32.14,14.29,0.179
Best Western Plus 61 Paris Nation Hotel,Facilities,5,16,8,29,27.59,17.24,0.103
Best Western Plus 61 Paris Nation Hotel,Food,3,9,10,22,45.45,13.64,0.318
Best Western Plus 61 Paris Nation Hotel,Location,4,10,13,27,48.15,14.81,0.333
Best Western Plus 61 Paris Nation Hotel,Room,5,20,15,40,37.5,12.5,0.25
Best Western Plus 61 Paris Nation Hotel,Staff_Service,3,15,17,35,48.57,8.57,0.4
Best Western Plus 61 Paris Nation Hotel,Value,3,4,3,10,30.0,30.0,0.0
Best Western Plus Elys e Secret,Cleanliness,3,12,12,27,44.44,11.11,0.333
Best Western Plus Elys e Secret,Facilities,4,9,7,20,35.0,20.0,0.15
Best Western Plus Elys e Secret,Food,7,12,9,28,32.14,25.0,0.071
Best Western Plus Elys e Secret,Location,10,36,26,72,36.11,13.89,0.222
Best Western Plus Elys e Secret,Room,10,29,19,58,32.76,17.24,0.155
Best Western Plus Elys e Secret,Staff_Service,5,14,19,38,50.0,13.16,0.368
Best Western Plus Elys e Secret,Value,2,7,2,11,18.18,18.18,0.0
Best Western Plus Hotel Blue Square,Cleanliness,32,59,75,166,45.18,19.28,0.259
Best Western Plus Hotel Blue Square,Facilities,16,47,49,112,43.75,14.29,0.295
Best Western Plus Hotel Blue Square,Food,16,54,71,141,50.35,11.35,0.39
Best Western Plus Hotel Blue Square,Location,15,96,103,214,48.13,7.01,0.411
Best Western Plus Hotel Blue Square,Room,62,118,126,306,41.18,20.26,0.209
Best Western Plus Hotel Blue Square,Staff_Service,43,75,118,236,50.0,18.22,0.318
Best Western Plus Hotel Blue Square,Value,10,45,40,95,42.11,10.53,0.316
Best Western Plus Hotel Blue Square,Wellness,2,2,1,5,20.0,40.0,-0.2
Best Western Plus Hotel Felice Casati,Cleanliness,0,25,45,70,64.29,0.0,0.643
Best Western Plus Hotel Felice Casati,Facilities,2,16,27,45,60.0,4.44,0.556
Best Western Plus Hotel Felice Casati,Food,4,42,88,134,65.67,2.99,0.627
Best Western Plus Hotel Felice Casati,Location,6,52,95,153,62.09,3.92,0.582
Best Western Plus Hotel Felice Casati,Room,13,50,80,143,55.94,9.09,0.469
Best Western Plus Hotel Felice Casati,Staff_Service,8,39,95,142,66.9,5.63,0.613
Best Western Plus Hotel Felice Casati,Value,3,15,25,43,58.14,6.98,0.512
Best Western Plus Hotel Felice Casati,Wellness,0,3,10,13,76.92,0.0,0.769
Best Western Plus Hotel Galles,Cleanliness,4,17,48,69,69.57,5.8,0.638
Best Western Plus Hotel Galles,Facilities,6,29,61,96,63.54,6.25,0.573
Best Western Plus Hotel Galles,Food,14,91,181,286,63.29,4.9,0.584
Best Western Plus Hotel Galles,Location,19,106,196,321,61.06,5.92,0.551
Best Western Plus Hotel Galles,Room,29,98,151,278,54.32,10.43,0.439
Best Western Plus Hotel Galles,Staff_Service,18,64,182,264,68.94,6.82,0.621
Best Western Plus Hotel Galles,Value,7,21,36,64,56.25,10.94,0.453
Best Western Plus Hotel Galles,Wellness,13,35,90,138,65.22,9.42,0.558
Best Western Plus Seraphine Hammersmith Hotel,Cleanliness,8,78,92,178,51.69,4.49,0.472
Best Western Plus Seraphine Hammersmith Hotel,Facilities,16,47,44,107,41.12,14.95,0.262
Best Western Plus Seraphine Hammersmith Hotel,Food,31,122,149,302,49.34,10.26,0.391
Best Western Plus Seraphine Hammersmith Hotel,Location,31,154,143,328,43.6,9.45,0.341
Best Western Plus Seraphine Hammersmith Hotel,Room,79,216,178,473,37.63,16.7,0.209
Best Western Plus Seraphine Hammersmith Hotel,Staff_Service,30,90,141,261,54.02,11.49,0.425
Best Western Plus Seraphine Hammersmith Hotel,Value,13,31,24,68,35.29,19.12,0.162
Best Western Plus Seraphine Hammersmith Hotel,Wellness,1,1,0,2,0.0,50.0,-0.5
Best Western Plus de Neuville Arc de Triomphe,Cleanliness,1,1,7,9,77.78,11.11,0.667
Best Western Plus de Neuville Arc de Triomphe,Facilities,2,6,10,18,55.56,11.11,0.444
Best Western Plus de Neuville Arc de Triomphe,Food,4,3,11,18,61.11,22.22,0.389
Best Western Plus de Neuville Arc de Triomphe,Location,0,7,22,29,75.86,0.0,0.759
Best Western Plus de Neuville Arc de Triomphe,Room,4,5,24,33,72.73,12.12,0.606
Best Western Plus de Neuville Arc de Triomphe,Staff_Service,6,6,39,51,76.47,11.76,0.647
Best Western Plus de Neuville Arc de Triomphe,Value,2,1,5,8,62.5,25.0,0.375
Best Western Plus de Neuville Arc de Triomphe,Wellness,0,0,1,1,100.0,0.0,1.0
Best Western Premier Faubourg 88,Cleanliness,1,12,32,45,71.11,2.22,0.689
Best Western Premier Faubourg 88,Facilities,1,10,7,18,38.89,5.56,0.333
Best Western Premier Faubourg 88,Food,7,14,31,52,59.62,13.46,0.462
Best Western Premier Faubourg 88,Location,7,22,54,83,65.06,8.43,0.566
Best Western Premier Faubourg 88,Room,8,34,68,110,61.82,7.27,0.545
Best Western Premier Faubourg 88,Staff_Service,11,18,79,108,73.15,10.19,0.63
Best Western Premier Faubourg 88,Value,4,8,18,30,60.0,13.33,0.467
Best Western Premier Hotel Couture,Cleanliness,19,101,394,514,76.65,3.7,0.73
Best Western Premier Hotel Couture,Facilities,11,46,226,283,79.86,3.89,0.76
Best Western Premier Hotel Couture,Food,32,91,404,527,76.66,6.07,0.706
Best Western Premier Hotel Couture,Location,22,132,486,640,75.94,3.44,0.725
Best Western Premier Hotel Couture,Room,47,197,623,867,71.86,5.42,0.664
Best Western Premier Hotel Couture,Staff_Service,46,135,531,712,74.58,6.46,0.681
Best Western Premier Hotel Couture,Value,12,68,193,273,70.7,4.4,0.663
Best Western Premier Hotel Couture,Wellness,0,7,29,36,80.56,0.0,0.806
Best Western Premier Hotel Dante,Cleanliness,1,8,32,41,78.05,2.44,0.756
Best Western Premier Hotel Dante,Facilities,5,11,17,33,51.52,15.15,0.364
Best Western Premier Hotel Dante,Food,3,13,40,56,71.43,5.36,0.661
Best Western Premier Hotel Dante,Location,8,21,51,80,63.75,10.0,0.538
Best Western Premier Hotel Dante,Room,9,17,53,79,67.09,11.39,0.557
Best Western Premier Hotel Dante,Staff_Service,7,25,71,103,68.93,6.8,0.621
Best Western Premier Hotel Dante,Value,4,8,11,23,47.83,17.39,0.304
Best Western Premier Hotel Dante,Wellness,0,0,1,1,100.0,0.0,1.0
Best Western Premier Kaiserhof Wien,Cleanliness,1,4,63,68,92.65,1.47,0.912
Best Western Premier Kaiserhof Wien,Facilities,1,3,43,47,91.49,2.13,0.894
Best Western Premier Kaiserhof Wien,Food,2,8,203,213,95.31,0.94,0.944
Best Western Premier Kaiserhof Wien,Location,1,7,120,128,93.75,0.78,0.93
Best Western Premier Kaiserhof Wien,Room,3,8,121,132,91.67,2.27,0.894
Best Western Premier Kaiserhof Wien,Staff_Service,3,6,202,211,95.73,1.42,0.943
Best Western Premier Kaiserhof Wien,Value,0,1,27,28,96.43,0.0,0.964
Best Western Premier Kaiserhof Wien,Wellness,0,2,14,16,87.5,0.0,0.875
Best Western Premier Kapital Op ra,Cleanliness,4,10,63,77,81.82,5.19,0.766
Best Western Premier Kapital Op ra,Facilities,1,6,27,34,79.41,2.94,0.765
Best Western Premier Kapital Op ra,Food,3,8,43,54,79.63,5.56,0.741
Best Western Premier Kapital Op ra,Location,0,25,106,131,80.92,0.0,0.809
Best Western Premier Kapital Op ra,Room,10,36,141,187,75.4,5.35,0.701
Best Western Premier Kapital Op ra,Staff_Service,5,19,119,143,83.22,3.5,0.797
Best Western Premier Kapital Op ra,Value,1,7,24,32,75.0,3.12,0.719
Best Western Premier Kapital Op ra,Wellness,0,1,2,3,66.67,0.0,0.667
Best Western Premier Le Swann,Cleanliness,1,9,16,26,61.54,3.85,0.577
Best Western Premier Le Swann,Facilities,1,4,4,9,44.44,11.11,0.333
Best Western Premier Le Swann,Food,1,8,20,29,68.97,3.45,0.655
Best Western Premier Le Swann,Location,4,13,21,38,55.26,10.53,0.447
Best Western Premier Le Swann,Room,9,19,30,58,51.72,15.52,0.362
Best Western Premier Le Swann,Staff_Service,6,13,24,43,55.81,13.95,0.419
Best Western Premier Le Swann,Value,1,4,8,13,61.54,7.69,0.538
Best Western Premier Louvre Saint Honor ,Cleanliness,5,9,19,33,57.58,15.15,0.424
Best Western Premier Louvre Saint Honor ,Facilities,8,17,20,45,44.44,17.78,0.267
Best Western Premier Louvre Saint Honor ,Food,3,7,31,41,75.61,7.32,0.683
Best Western Premier Louvre Saint Honor ,Location,14,33,81,128,63.28,10.94,0.523
Best Western Premier Louvre Saint Honor ,Room,14,33,53,100,53.0,14.0,0.39
Best Western Premier Louvre Saint Honor ,Staff_Service,12,19,61,92,66.3,13.04,0.533
Best Western Premier Louvre Saint Honor ,Value,4,7,16,27,59.26,14.81,0.444
Best Western Premier Louvre Saint Honor ,Wellness,1,1,0,2,0.0,50.0,-0.5
Best Western Premier Marais Grands Boulevards,Cleanliness,7,19,41,67,61.19,10.45,0.507
Best Western Premier Marais Grands Boulevards,Facilities,1,5,15,21,71.43,4.76,0.667
Best Western Premier Marais Grands Boulevards,Food,8,17,27,52,51.92,15.38,0.365
Best Western Premier Marais Grands Boulevards,Location,6,37,75,118,63.56,5.08,0.585
Best Western Premier Marais Grands Boulevards,Room,16,42,75,133,56.39,12.03,0.444
Best Western Premier Marais Grands Boulevards,Staff_Service,13,18,70,101,69.31,12.87,0.564
Best Western Premier Marais Grands Boulevards,Value,6,10,15,31,48.39,19.35,0.29
Best Western Premier Marais Grands Boulevards,Wellness,1,0,1,2,50.0,50.0,0.0
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Cleanliness,2,14,36,52,69.23,3.85,0.654
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Facilities,2,20,21,43,48.84,4.65,0.442
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Food,10,22,40,72,55.56,13.89,0.417
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Location,14,58,97,169,57.4,8.28,0.491
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Room,24,67,101,192,52.6,12.5,0.401
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Staff_Service,12,40,94,146,64.38,8.22,0.562
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Value,3,8,18,29,62.07,10.34,0.517
Best Western Premier Op ra Faubourg Ex Hotel Jules ,Wellness,0,1,0,1,0.0,0.0,0.0
Best Western Premier Op ra Li ge,Cleanliness,1,10,24,35,68.57,2.86,0.657
Best Western Premier Op ra Li ge,Facilities,0,4,6,10,60.0,0.0,0.6
Best Western Premier Op ra Li ge,Food,3,5,20,28,71.43,10.71,0.607
Best Western Premier Op ra Li ge,Location,1,19,28,48,58.33,2.08,0.562
Best Western Premier Op ra Li ge,Room,8,15,44,67,65.67,11.94,0.537
Best Western Premier Op ra Li ge,Staff_Service,7,10,55,72,76.39,9.72,0.667
Best Western Premier Op ra Li ge,Value,3,6,7,16,43.75,18.75,0.25
Best Western Premier Op ra Li ge,Wellness,0,0,3,3,100.0,0.0,1.0
Best Western Premier Op ra Opal,Cleanliness,0,8,21,29,72.41,0.0,0.724
Best Western Premier Op ra Opal,Facilities,1,15,14,30,46.67,3.33,0.433
Best Western Premier Op ra Opal,Food,1,8,13,22,59.09,4.55,0.545
Best Western Premier Op ra Opal,Location,2,23,55,80,68.75,2.5,0.662
Best Western Premier Op ra Opal,Room,4,24,41,69,59.42,5.8,0.536
Best Western Premier Op ra Opal,Staff_Service,2,14,53,69,76.81,2.9,0.739
Best Western Premier Op ra Opal,Value,0,2,5,7,71.43,0.0,0.714
Best Western Premier Op ra Opal,Wellness,0,0,1,1,100.0,0.0,1.0
Best Western Premier Trocadero La Tour,Cleanliness,1,1,3,5,60.0,20.0,0.4
Best Western Premier Trocadero La Tour,Facilities,3,4,6,13,46.15,23.08,0.231
Best Western Premier Trocadero La Tour,Food,1,6,5,12,41.67,8.33,0.333
Best Western Premier Trocadero La Tour,Location,3,15,11,29,37.93,10.34,0.276
Best Western Premier Trocadero La Tour,Room,3,14,11,28,39.29,10.71,0.286
Best Western Premier Trocadero La Tour,Staff_Service,1,9,11,21,52.38,4.76,0.476
Best Western Premier Trocadero La Tour,Value,1,1,2,4,50.0,25.0,0.25
Best Western S vres Montparnasse,Cleanliness,3,10,24,37,64.86,8.11,0.568
Best Western S vres Montparnasse,Facilities,8,12,10,30,33.33,26.67,0.067
Best Western S vres Montparnasse,Food,6,14,37,57,64.91,10.53,0.544
Best Western S vres Montparnasse,Location,5,17,61,83,73.49,6.02,0.675
Best Western S vres Montparnasse,Room,15,36,52,103,50.49,14.56,0.359
Best Western S vres Montparnasse,Staff_Service,9,24,58,91,63.74,9.89,0.538
Best Western S vres Montparnasse,Value,3,7,21,31,67.74,9.68,0.581
Best Western Seraphine Kensington Olympia,Cleanliness,13,40,50,103,48.54,12.62,0.359
Best Western Seraphine Kensington Olympia,Facilities,17,41,36,94,38.3,18.09,0.202
Best Western Seraphine Kensington Olympia,Food,27,68,63,158,39.87,17.09,0.228
Best Western Seraphine Kensington Olympia,Location,19,80,85,184,46.2,10.33,0.359
Best Western Seraphine Kensington Olympia,Room,38,110,92,240,38.33,15.83,0.225
Best Western Seraphine Kensington Olympia,Staff_Service,27,51,74,152,48.68,17.76,0.309
Best Western Seraphine Kensington Olympia,Value,5,21,21,47,44.68,10.64,0.34
Best Western Seraphine Kensington Olympia,Wellness,0,1,0,1,0.0,0.0,0.0
Best Western The Boltons Hotel London Kensington,Cleanliness,15,55,71,141,50.35,10.64,0.397
Best Western The Boltons Hotel London Kensington,Facilities,22,42,41,105,39.05,20.95,0.181
Best Western The Boltons Hotel London Kensington,Food,15,56,97,168,57.74,8.93,0.488
Best Western The Boltons Hotel London Kensington,Location,35,119,143,297,48.15,11.78,0.364
Best Western The Boltons Hotel London Kensington,Room,68,159,168,395,42.53,17.22,0.253
Best Western The Boltons Hotel London Kensington,Staff_Service,24,65,121,210,57.62,11.43,0.462
Best Western The Boltons Hotel London Kensington,Value,13,23,28,64,43.75,20.31,0.234
Best Western The Boltons Hotel London Kensington,Wellness,0,2,0,2,0.0,0.0,0.0
Best Western Tour Eiffel Invalides,Cleanliness,0,6,7,13,53.85,0.0,0.538
Best Western Tour Eiffel Invalides,Facilities,3,5,6,14,42.86,21.43,0.214
Best Western Tour Eiffel Invalides,Food,0,6,6,12,50.0,0.0,0.5
Best Western Tour Eiffel Invalides,Location,6,20,23,49,46.94,12.24,0.347
Best Western Tour Eiffel Invalides,Room,5,16,21,42,50.0,11.9,0.381
Best Western Tour Eiffel Invalides,Staff_Service,2,11,20,33,60.61,6.06,0.545
Best Western Tour Eiffel Invalides,Value,1,1,1,3,33.33,33.33,0.0
Bianca Maria Palace Hotel,Cleanliness,2,28,123,153,80.39,1.31,0.791
Bianca Maria Palace Hotel,Facilities,5,17,67,89,75.28,5.62,0.697
Bianca Maria Palace Hotel,Food,8,53,235,296,79.39,2.7,0.767
Bianca Maria Palace Hotel,Location,7,41,154,202,76.24,3.47,0.728
Bianca Maria Palace Hotel,Room,16,49,197,262,75.19,6.11,0.691
Bianca Maria Palace Hotel,Staff_Service,12,46,233,291,80.07,4.12,0.759
Bianca Maria Palace Hotel,Value,1,9,41,51,80.39,1.96,0.784
Bianca Maria Palace Hotel,Wellness,2,1,11,14,78.57,14.29,0.643
Bilderberg Garden Hotel,Cleanliness,8,38,50,96,52.08,8.33,0.438
Bilderberg Garden Hotel,Facilities,17,21,42,80,52.5,21.25,0.312
Bilderberg Garden Hotel,Food,21,43,101,165,61.21,12.73,0.485
Bilderberg Garden Hotel,Location,17,68,157,242,64.88,7.02,0.579
Bilderberg Garden Hotel,Room,49,78,129,256,50.39,19.14,0.312
Bilderberg Garden Hotel,Staff_Service,44,70,185,299,61.87,14.72,0.472
Bilderberg Garden Hotel,Value,18,44,47,109,43.12,16.51,0.266
Bilderberg Garden Hotel,Wellness,4,6,12,22,54.55,18.18,0.364
Bilderberg Hotel Jan Luyken,Cleanliness,3,10,38,51,74.51,5.88,0.686
Bilderberg Hotel Jan Luyken,Facilities,4,12,23,39,58.97,10.26,0.487
Bilderberg Hotel Jan Luyken,Food,5,29,67,101,66.34,4.95,0.614
Bilderberg Hotel Jan Luyken,Location,12,69,152,233,65.24,5.15,0.601
Bilderberg Hotel Jan Luyken,Room,13,66,115,194,59.28,6.7,0.526
Bilderberg Hotel Jan Luyken,Staff_Service,6,51,129,186,69.35,3.23,0.661
Bilderberg Hotel Jan Luyken,Value,6,16,25,47,53.19,12.77,0.404
Bilderberg Hotel Jan Luyken,Wellness,0,1,2,3,66.67,0.0,0.667
Blakemore Hyde Park,Cleanliness,23,116,276,415,66.51,5.54,0.61
Blakemore Hyde Park,Facilities,50,144,178,372,47.85,13.44,0.344
Blakemore Hyde Park,Food,59,231,550,840,65.48,7.02,0.585
Blakemore Hyde Park,Location,56,224,503,783,64.24,7.15,0.571
Blakemore Hyde Park,Room,114,350,719,1183,60.78,9.64,0.511
Blakemore Hyde Park,Staff_Service,91,237,780,1108,70.4,8.21,0.622
Blakemore Hyde Park,Value,33,52,133,218,61.01,15.14,0.459
Blakemore Hyde Park,Wellness,6,7,9,22,40.91,27.27,0.136
Blakes Hotel,Cleanliness,1,1,3,5,60.0,20.0,0.4
Blakes Hotel,Facilities,3,3,4,10,40.0,30.0,0.1
Blakes Hotel,Food,3,9,14,26,53.85,11.54,0.423
Blakes Hotel,Location,5,6,8,19,42.11,26.32,0.158
Blakes Hotel,Room,9,9,25,43,58.14,20.93,0.372
Blakes Hotel,Staff_Service,7,9,20,36,55.56,19.44,0.361
Blakes Hotel,Value,3,4,3,10,30.0,30.0,0.0
Blakes Hotel,Wellness,1,0,2,3,66.67,33.33,0.333
Bloomsbury Palace Hotel,Cleanliness,72,136,100,308,32.47,23.38,0.091
Bloomsbury Palace Hotel,Facilities,75,89,61,225,27.11,33.33,-0.062
Bloomsbury Palace Hotel,Food,132,268,196,596,32.89,22.15,0.107
Bloomsbury Palace Hotel,Location,137,290,203,630,32.22,21.75,0.105
Bloomsbury Palace Hotel,Room,267,429,245,941,26.04,28.37,-0.023
Bloomsbury Palace Hotel,Staff_Service,110,196,185,491,37.68,22.4,0.153
Bloomsbury Palace Hotel,Value,36,67,71,174,40.8,20.69,0.201
Bloomsbury Palace Hotel,Wellness,4,1,0,5,0.0,80.0,-0.8
BoB Hotel by Elegancia,Cleanliness,0,3,11,14,78.57,0.0,0.786
BoB Hotel by Elegancia,Facilities,0,0,8,8,100.0,0.0,1.0
BoB Hotel by Elegancia,Food,0,3,13,16,81.25,0.0,0.812
BoB Hotel by Elegancia,Location,1,2,21,24,87.5,4.17,0.833
BoB Hotel by Elegancia,Room,2,4,22,28,78.57,7.14,0.714
BoB Hotel by Elegancia,Staff_Service,2,3,28,33,84.85,6.06,0.788
BoB Hotel by Elegancia,Value,1,1,3,5,60.0,20.0,0.4
Boscolo Milano Autograph Collection,Cleanliness,7,9,5,21,23.81,33.33,-0.095
Boscolo Milano Autograph Collection,Facilities,9,7,15,31,48.39,29.03,0.194
Boscolo Milano Autograph Collection,Food,7,12,21,40,52.5,17.5,0.35
Boscolo Milano Autograph Collection,Location,16,47,51,114,44.74,14.04,0.307
Boscolo Milano Autograph Collection,Room,20,38,34,92,36.96,21.74,0.152
Boscolo Milano Autograph Collection,Staff_Service,17,27,39,83,46.99,20.48,0.265
Boscolo Milano Autograph Collection,Value,10,13,10,33,30.3,30.3,0.0
Boscolo Milano Autograph Collection,Wellness,5,17,13,35,37.14,14.29,0.229
Boundary Rooms Suites,Food,1,1,3,5,60.0,20.0,0.4
Boundary Rooms Suites,Location,0,3,2,5,40.0,0.0,0.4
Boundary Rooms Suites,Room,1,1,2,4,50.0,25.0,0.25
Boundary Rooms Suites,Staff_Service,1,2,4,7,57.14,14.29,0.429
Boutique H tel Konfidentiel,Facilities,0,2,0,2,0.0,0.0,0.0
Boutique H tel Konfidentiel,Food,1,0,2,3,66.67,33.33,0.333
Boutique H tel Konfidentiel,Location,2,1,10,13,76.92,15.38,0.615
Boutique H tel Konfidentiel,Room,2,2,9,13,69.23,15.38,0.538
Boutique H tel Konfidentiel,Staff_Service,0,2,10,12,83.33,0.0,0.833
Boutique H tel Konfidentiel,Value,1,0,1,2,50.0,50.0,0.0
Boutique Hotel Notting Hill,Cleanliness,17,23,88,128,68.75,13.28,0.555
Boutique Hotel Notting Hill,Facilities,11,17,48,76,63.16,14.47,0.487
Boutique Hotel Notting Hill,Food,10,38,109,157,69.43,6.37,0.631
Boutique Hotel Notting Hill,Location,19,62,182,263,69.2,7.22,0.62
Boutique Hotel Notting Hill,Room,46,93,209,348,60.06,13.22,0.468
Boutique Hotel Notting Hill,Staff_Service,29,62,284,375,75.73,7.73,0.68
Boutique Hotel Notting Hill,Value,9,27,51,87,58.62,10.34,0.483
Boutique Hotel Notting Hill,Wellness,2,3,4,9,44.44,22.22,0.222
Boutiquehotel Das Tyrol,Cleanliness,1,1,13,15,86.67,6.67,0.8
Boutiquehotel Das Tyrol,Facilities,0,3,18,21,85.71,0.0,0.857
Boutiquehotel Das Tyrol,Food,0,9,56,65,86.15,0.0,0.862
Boutiquehotel Das Tyrol,Location,0,7,61,68,89.71,0.0,0.897
Boutiquehotel Das Tyrol,Room,1,6,43,50,86.0,2.0,0.84
Boutiquehotel Das Tyrol,Staff_Service,0,4,84,88,95.45,0.0,0.955
Boutiquehotel Das Tyrol,Value,0,3,11,14,78.57,0.0,0.786
Boutiquehotel Das Tyrol,Wellness,0,1,16,17,94.12,0.0,0.941
Bradford Elys es Astotel,Cleanliness,2,4,11,17,64.71,11.76,0.529
Bradford Elys es Astotel,Facilities,2,3,14,19,73.68,10.53,0.632
Bradford Elys es Astotel,Food,1,4,23,28,82.14,3.57,0.786
Bradford Elys es Astotel,Location,3,8,33,44,75.0,6.82,0.682
Bradford Elys es Astotel,Room,2,4,33,39,84.62,5.13,0.795
Bradford Elys es Astotel,Staff_Service,2,4,39,45,86.67,4.44,0.822
Bradford Elys es Astotel,Value,3,1,5,9,55.56,33.33,0.222
Bradford Elys es Astotel,Wellness,0,0,1,1,100.0,0.0,1.0
Britannia International Hotel Canary Wharf,Cleanliness,265,300,237,802,29.55,33.04,-0.035
Britannia International Hotel Canary Wharf,Facilities,319,389,224,932,24.03,34.23,-0.102
Britannia International Hotel Canary Wharf,Food,336,436,341,1113,30.64,30.19,0.004
Britannia International Hotel Canary Wharf,Location,443,793,457,1693,26.99,26.17,0.008
Britannia International Hotel Canary Wharf,Room,888,1044,689,2621,26.29,33.88,-0.076
Britannia International Hotel Canary Wharf,Staff_Service,594,586,546,1726,31.63,34.41,-0.028
Britannia International Hotel Canary Wharf,Value,250,391,296,937,31.59,26.68,0.049
Britannia International Hotel Canary Wharf,Wellness,117,150,90,357,25.21,32.77,-0.076
Brunelleschi Hotel,Cleanliness,4,19,46,69,66.67,5.8,0.609
Brunelleschi Hotel,Facilities,9,41,38,88,43.18,10.23,0.33
Brunelleschi Hotel,Food,22,72,157,251,62.55,8.76,0.538
Brunelleschi Hotel,Location,29,119,194,342,56.73,8.48,0.482
Brunelleschi Hotel,Room,29,86,114,229,49.78,12.66,0.371
Brunelleschi Hotel,Staff_Service,26,78,142,246,57.72,10.57,0.472
Brunelleschi Hotel,Value,4,22,23,49,46.94,8.16,0.388
Brunelleschi Hotel,Wellness,1,2,5,8,62.5,12.5,0.5
Buddha Bar Hotel Paris,Cleanliness,1,1,2,4,50.0,25.0,0.25
Buddha Bar Hotel Paris,Facilities,1,1,7,9,77.78,11.11,0.667
Buddha Bar Hotel Paris,Food,5,4,22,31,70.97,16.13,0.548
Buddha Bar Hotel Paris,Location,5,10,29,44,65.91,11.36,0.545
Buddha Bar Hotel Paris,Room,14,8,32,54,59.26,25.93,0.333
Buddha Bar Hotel Paris,Staff_Service,9,6,54,69,78.26,13.04,0.652
Buddha Bar Hotel Paris,Value,3,4,7,14,50.0,21.43,0.286
Buddha Bar Hotel Paris,Wellness,1,1,2,4,50.0,25.0,0.25
Bulgari Hotel London,Cleanliness,0,0,1,1,100.0,0.0,1.0
Bulgari Hotel London,Facilities,0,0,2,2,100.0,0.0,1.0
Bulgari Hotel London,Food,0,0,7,7,100.0,0.0,1.0
Bulgari Hotel London,Location,0,0,8,8,100.0,0.0,1.0
Bulgari Hotel London,Room,0,0,8,8,100.0,0.0,1.0
Bulgari Hotel London,Staff_Service,0,0,18,18,100.0,0.0,1.0
Bulgari Hotel London,Value,0,0,4,4,100.0,0.0,1.0
Bulgari Hotel London,Wellness,0,0,6,6,100.0,0.0,1.0
Bulgari Hotel Milano,Cleanliness,0,1,0,1,0.0,0.0,0.0
Bulgari Hotel Milano,Facilities,0,1,0,1,0.0,0.0,0.0
Bulgari Hotel Milano,Food,0,2,3,5,60.0,0.0,0.6
Bulgari Hotel Milano,Location,0,2,4,6,66.67,0.0,0.667
Bulgari Hotel Milano,Room,1,2,0,3,0.0,33.33,-0.333
Bulgari Hotel Milano,Staff_Service,2,1,5,8,62.5,25.0,0.375
Bulgari Hotel Milano,Value,1,1,3,5,60.0,20.0,0.4
Bulgari Hotel Milano,Wellness,0,2,2,4,50.0,0.0,0.5
COMO Metropolitan London,Cleanliness,4,4,13,21,61.9,19.05,0.429
COMO Metropolitan London,Facilities,0,2,9,11,81.82,0.0,0.818
